Attribute,Description
student_id,anonymous unique identifier for each student
sex,student's sex (binary: 'F' - female or 'M' - male)
age,student's age (numeric: from 15 to 22)
parent_status,parent's cohabitation status (binary: 'T' - living together or 'A' - apart)
study_time,weekly study time (numeric: 1 - <2 hours, 2 - 2 to 5 hours, 3 - 5 to 10 hours, or 4 - >10 hours)
failures,number of past class failures (numeric: n if 1<=n<3, else 4)
tutored,extra paid classes (binary: yes or no)
activities,1. activities - extra-curricular activities (binary: yes or no)
higher_edu,wants to take higher education (binary: yes or no)
currently_dating,1. romantic - with a romantic relationship (binary: yes or no)
family_relationship,quality of family relationships (numeric: from 1 - very bad to 5 - excellent)
free_time,free time after school (numeric: from 1 - very low to 5 - very high)
go_out,going out with friends (numeric: from 1 - very low to 5 - very high)
workday_alcohol,workday alcohol consumption (numeric: from 1 - very low to 5 - very high)
weekend_alcohol,weekend alcohol consumption (numeric: from 1 - very low to 5 - very high)
health_status,1. health - current health status (numeric: from 1 - very bad to 5 - very good)
absences,number of school absences (numeric: from 0 to 93)
s1_grade,first period grade (ordinal: from A+ to F)
s2_grade,second period grade (ordinal: from A+ to F)
final_grade,final grade (ordinal: from A+ to F)
